Phrase,Count,N
http t co,4341,3
https t co,4264,3
twitter for android,1639,3
donald trump,1122,2
twitter web client,870,3
twitter web,870,2
web client,870,2
mr trump,569,2
make america,541,2
america great,535,2
make america great,480,3
94 http t co,465,4
94 http,465,2
cont http,443,2
cont http t co,438,4
run for president,387,3
fake news,385,2
don 92,341,2
united states,337,2
last night,312,2
new york,301,2
crooked hillary,292,2
85 https t co,287,4
85 https,287,2
hillary clinton,284,2
white house,279,2
great job,270,2
f1 uc0,242,2
94 96,240,2
looking forward,223,2
celebrity apprentice,213,2
trump2016 https t co,207,4
trump2016 https,207,2
president obama,200,2
twitter for iphone,192,3
good luck,189,2
please run,177,2
north korea,176,2
witch hunt,176,2
f1 uc0 u55357,171,3
uc0 u55357,171,2
trump tower,170,2
great honor,168,2
art of the deal,156,4
realdonaldtrump please,152,2
look forward,145,2
border security,138,2
trump national,138,2
golf course,137,2
think like,137,2
93 donald,135,2
93 trump,135,2
new hampshire,133,2
93 donald trump,130,3
makeamericagreatagain https t co,128,4
makeamericagreatagain https,128,2
think big,125,2
great again https,122,3
trump for president,121,3
happy birthday,121,2
realdonaldtrump trump,120,2
92 re,118,2
ted cruz,118,2
many people,117,2
news media,117,2
global warming,116,2
realdonaldtrump great,116,2
didn 92,115,2
fake news media,114,3
america great again https,113,4
makeamericagreatagain trump2016,113,2
crooked hillary clinton,111,3
tax cuts,111,2
american people,110,2
great state,109,2
president trump,108,2
south carolina,107,2
great people,104,2
donald j trump,103,3
much better,103,2
please run for president,102,4
bit ly,102,2
country needs,101,2
doesn 92,101,2
96 think,99,2
http bit ly,98,3
http bit,98,2
trump international,98,2
94 96 think,96,3
realdonaldtrump for president,96,3
right now,96,2
years ago,96,2
obama 92,95,2
92 ve,94,2
america needs,94,2
southern border,93,2
god bless,92,2
illegal immigration,91,2
think like a champion,90,4
like a champion,90,3
law enforcement,89,2
many years,89,2
work hard,89,2
looks like,87,2
realdonaldtrump donald,87,2
great guy,84,2
jeb bush,82,2
las vegas,82,2
republican party,82,2
newsmax media,81,2
makeamericagreatagain trump2016 https,80,3
next president,80,2
supreme court,80,2
interview discussing,79,2
joan rivers,79,2
national security,79,2
first time,78,2
realdonaldtrump mr,78,2
midas touch,77,2
miss universe,77,2
trump 2016,77,2
wind turbines,77,2
94 https t co,76,4
94 https,76,2
realdonaldtrump thank,76,2
realdonaldtrump please run,75,3
realdonaldtrump mr trump,74,3
stock market,74,2
billions of dollars,73,3
never give,73,2
realdonaldtrump http t co,72,4
prime minister,72,2
realdonaldtrump http,72,2
92 ll,71,2
failing nytimes,71,2
just like,71,2
new book,71,2
twitlonger beta,71,2
running for president,70,3
-23 -2013,70,2
let 92,70,2
u55356 u56826,70,2
won 92,70,2
u55356 u56826 u55356 u56824,69,4
u55356 u56826 u55356,69,3
u56826 u55356 u56824,69,3
realdonaldtrump run,69,2
u55356 u56824,69,2
u56826 u55356,69,2
96 think like,68,3
-18 -2013,68,2
long time,68,2
north carolina,68,2
great news,67,2
great time,67,2
obama administration,67,2
trump national doral,66,3
trump2016https t co,66,3
national doral,66,2
94 96 think like,65,4
maga https t co,65,4
golf club,65,2
great day,65,2
jobs jobs,65,2
maga https,65,2
realdonaldtrump just,65,2
realdonaldtrump foxandfriends,64,2
twitter web client 93,63,4
thank you https,63,3
web client 93,63,3
client 93,63,2
great interview,63,2
getting ready,62,2
marco rubio,62,2
post office,62,2
real estate,62,2
working hard,62,2
-15 -2013,61,2
trade deals,61,2
really bad,60,2
mar a lago,59,3
new york times,59,3
blue monster,59,2
good news,59,2
morning joe,59,2
york times,59,2
next week,58,2
palm beach,58,2
trump 94,58,2
every day,57,2
mike pence,57,2
tea party,57,2
92 t want,56,3
realdonaldtrump we need,56,3
-24 -2013,56,2
stay tuned,56,2
total endorsement,55,2
trump 92,55,2
trump2016 makeamericagreatagain,55,2
via newsmax,55,2
85 cont http,54,3
85 cont,54,2
golf links,54,2
making america,54,2
new year,54,2
via newsmax media,53,3
fantastic job,53,2
great country,53,2
great new,53,2
james comey,53,2
last week,53,2
trump http,53,2
wall street,53,2
men and women,52,3
great work,52,2
poll numbers,52,2
really good,52,2
trump campaign,52,2
u55357 u56397,52,2
via breitbartnews,52,2
great show,51,2
isn 92,51,2
press conference,51,2
realdonaldtrump thanks,51,2
f1 uc0 u55356,50,3
uc0 u55356,50,2
one of the best,49,4
old post office,49,3
america safe,49,2
old post,49,2
puerto rico,49,2
realdonaldtrump love,49,2
like a billionaire,48,3
-06 -2015,48,2
-28 -2013,48,2
",0,0, false",48,2
apprenticenbc realdonaldtrump,48,2
bernie sanders,48,2
first responders,48,2
fox news,48,2
miss usa,48,2
mitt romney,48,2
must read,48,2
two years,48,2
-12 -2013,47,2
-13 -2013,47,2
nancy pelosi,47,2
nd amendment,47,2
washington post,47,2
kim jong un,46,3
thoughts and prayers,46,3
america 92,46,2
jong un,46,2
kim jong,46,2
last year,46,2
make sure,46,2
realdonaldtrump apprenticenbc,46,2
tax cut,46,2
think like a billionaire,45,4
93 realdonaldtrump,45,2
come back,45,2
even though,45,2
middle east,45,2
tomorrow morning,45,2
truly great,45,2
donald trump for president,44,4
honor to welcome,44,3
making america great,44,3
-03 -2013,44,2
",04 -12",44,2
big crowd,44,2
gas prices,44,2
just watched,44,2
nice words,44,2
president of the united,43,4
realdonaldtrump donald trump,43,3
barack obama,43,2
beat hillary,43,2
highly respected,43,2
need someone,43,2
rt realdonaldtrump,43,2
president in 2016,42,3
realdonaldtrump i love,42,3
see you soon,42,3
wait to see,42,3
open borders,42,2
realdonaldtrump trump2016,42,2
saturday night,42,2
trump int'l,42,2
draintheswamp https t co,41,4
-14 -2015,41,2
-21 -2015,41,2
country back,41,2
draintheswamp https,41,2
just announced,41,2
tomorrow night,41,2
americafirst https t co,40,4
twitter web client via,40,4
web client via,40,3
-13 -2015,40,2
",01 -23",40,2
americafirst https,40,2
bring back,40,2
client via,40,2
foreign policy,40,2
just another,40,2
f1 uc0 u55356 u56826,39,4
f1 uc0 u55357 u56397,39,4
uc0 u55356 u56826 u55356,39,4
forward to seeing,39,3
make america safe,39,3
strong on crime,39,3
uc0 u55356 u56826,39,3
uc0 u55357 u56397,39,3
-04 -2015,39,2
10 pm,39,2
coming back,39,2
common sense,39,2
donald trump's,39,2
president donald,39,2
president xi,39,2
saudi arabia,39,2
don 92 t want,38,4
realdonaldtrump run for president,38,4
u56826 u55356 u56824 f0,38,4
92 t know,38,3
hall of fame,38,3
new york city,38,3
realdonaldtrump can't wait,38,3
u55356 u56824 f0,38,3
-05 -2015,38,2
-06 -2013,38,2
amp friends,38,2
climate change,38,2
country great,38,2
good job,38,2
great meeting,38,2
great thanks,38,2
illegal immigrants,38,2
join us,38,2
just arrived,38,2
lord sugar,38,2
obamacare website,38,2
pm et,38,2
role model,38,2
ronald reagan,38,2
south korea,38,2
th season,38,2
u56824 f0,38,2
well done,38,2
york city,38,2
makeamericagreatagain trump2016https t co,37,4
trump http t co,37,4
twitter for iphone thank,37,4
loves our military,37,3
-25 -2013,37,2
-27 -2013,37,2
iphone thank,37,2
just left,37,2
makeamericagreatagain trump2016https,37,2
many times,37,2
middle class,37,2
tickets https t co,36,4
",01 -23 -2013",36,3
vote for realdonaldtrump,36,3
-12 -2015,36,2
-22 -2015,36,2
-25 -2015,36,2
attorney general,36,2
best wishes,36,2
big win,36,2
first lady,36,2
fox amp,36,2
great american,36,2
international hotel,36,2
many others,36,2
merry christmas,36,2
number one,36,2
one day,36,2
one thing,36,2
pm est,36,2
take care,36,2
tickets https,36,2
realdonaldtrump https t co,35,4
fox amp friends,35,3
going to win,35,3
haters and losers,35,3
http tinyurl com,35,3
march 3 rd,35,3
-10 -2013,35,2
-21 -2013,35,2
",05 -07",35,2
",09 -12",35,2
billion dollars,35,2
border patrol,35,2
ever seen,35,2
foxandfriends interview,35,2
hard work,35,2
http tinyurl,35,2
never let,35,2
president 2016,35,2
realdonaldtrump https,35,2
tinyurl com,35,2
trump thanks,35,2
vote trump,35,2